ID,State,Region,Year,tax,T,c,K,E,mu,lam,D,Y,L,A,sigma,th1,pb,EL
3618,10,China,2015,34.66088021519903,0.98,5.502449711808079,13.75356665796124,2.1189251539831018,0.13936303473702272,0.00041083303827357413,0.0035167370232823876,10.338544720002309,1.387750221184482,3.743836689153189,0.23814211717166478,0.10234157485452294,1203.3,0.0
3619,10,China,2025,58.778464062732496,1.1766018620985392,7.960160775595612,26.620558546057328,2.3951180385241284,0.19170343637837822,0.000764303360714324,0.0053185821012437145,15.602008847023676,1.4445546171355679,4.50610797534773,0.18992217242596937,0.07796542580801576,1149.435,0.0
3620,10,China,2035,80.00146313434205,1.3987538000139295,10.613456100484047,40.08718703563669,2.487141144191689,0.23334326251917567,0.0010303638433101783,0.00779548816841148,20.991526867027737,1.4537111970786125,5.338357563962195,0.15454517341008953,0.06061831586470661,1098.26325,0.0
3621,10,China,2045,105.3958992189993,1.6291561747661816,13.55461173427929,53.787918681923294,2.446413407996468,0.27888995400552724,0.001344311958643515,0.010858563061435917,26.49273487044047,1.4317795428930247,6.234592378156106,0.1280564650642144,0.0480051713427119,1049.6500875,0.0
3622,10,China,2055,137.94896319696372,1.8553606096833017,16.84149599572669,67.6570427408775,2.303428330120366,0.3320707381173817,0.001764486120528601,0.01435534898073657,31.97547495328339,1.3854481804592529,7.188030316148716,0.10785175826860868,0.03865205114485088,1003.4675831249999,0.0
3623,10,China,2065,175.2520956711687,2.068476089864289,20.401396583762587,81.34310182021673,2.1195627291282575,0.38883399224775184,0.0022433346007446338,0.01809353347867853,37.62378127261992,1.3401411957953853,8.191450890687554,0.09217743986510744,0.031590334654012536,959.59420396875,0.0
3624,10,China,2075,216.41319678615181,2.263057401574071,24.26595565803524,95.31477607536095,1.9152018616041884,0.4481037912193318,0.0027647820676135228,0.02188259739036231,43.47109379752497,1.2963158420494287,9.237509930978845,0.07982824410327943,0.026169822240940957,917.9144937703124,0.0
3625,10,China,2085,261.4485852038366,2.436233515782713,28.43647935213842,109.66246514008473,1.6960097452340626,0.5100703436739019,0.0033320224598114706,0.025556679808010827,49.48174794699027,1.2539236668647942,10.319005924982346,0.0699599647165734,0.02194541074816667,878.3187690817967,0.0
3626,10,China,2095,313.1982862661066,2.586360862773015,32.8984957453362,124.30731962396906,1.454674253018191,0.5777832218930534,0.004005104224733895,0.028971799369927123,55.595893533757916,1.2129178023758953,11.42909242231342,0.06197086386169289,0.018606814523203386,840.7028306277069,0.0
3627,10,China,2105,359.5387615257985,2.7130712045553547,37.44560474613459,139.10962734303664,1.250456134371439,0.6390537270528039,0.0045481108840469,0.03202047646622697,62.50574187524256,1.1938838632508533,12.561436302157217,0.05542503621074663,0.015934058327373095,804.9676890963216,0.0
3628,10,China,2115,420.1296740741018,2.8083547002642733,42.13547428469739,155.85211749171742,1.0116914689417182,0.7136907343047401,0.00535454071727557,0.03441326747220378,70.66849519002204,1.195812902455109,13.710325541216244,0.050001938445724495,0.013768735646839236,771.0193046415055,0.0
3629,10,China,2125,494.8320763245227,2.8722463163579404,47.22186501023203,175.65515430102022,0.7217838956790943,0.800396749148278,0.006430711164617079,0.03606593501840213,79.54002126708981,1.1977450585389593,14.87073251640186,0.045462558717685765,0.011995106788988723,738.7683394094302,0.0
3630,10,China,2135,580.0211055755525,2.9028935345701212,52.591771173949226,197.1774743029057,0.38840634361811455,0.8950565448762826,0.0077179988097603215,0.03687241034621287,88.9124313682641,1.199680336538558,16.03834008649082,0.041626363200716394,0.010527454765978295,708.1299224389587,0.0
3631,10,China,2145,595.6082661838259,2.9036950315883723,58.29199785452935,219.954632852933,0.2658608079622623,0.9297700076169977,0.00758584711495295,0.03689362104022827,98.69742703062094,1.2016187414981967,17.209537999250827,0.03835534273529294,0.009301491514886386,679.0234263170107,0.0
3632,10,China,2155,651.3722550011602,2.878582647765996,64.21019648759403,244.1886139428473,0.0,1.0,0.008268429257902426,0.03623194422109952,108.89893348276381,1.2035602784703163,18.381396840296684,0.035542812492198574,0.008268429257902426,651.3722550011602,0.0
3633,10,China,2165,625.1036422511021,2.833291183315242,70.45067011339259,269.41490647925,0.0,1.0,0.007390832885998594,0.035053688974748705,119.4339145767057,1.2055049525155224,19.551626015138915,0.03310544153329892,0.007390832885998594,625.1036422511021,0.0
3634,10,China,2175,600.148460138547,2.778732210093296,76.92348807162269,296.07647630401516,0.0,1.0,0.006639679981281389,0.03366015917643494,130.343396572982,1.2074527687025969,20.71852132574214,0.030977508370672233,0.006639679981281389,600.148460138547,0.0
3635,10,China,2185,576.4410371316195,2.7216229259228517,83.57977926348084,323.8015302096594,0.0,1.0,0.005992250978310327,0.03223171487997536,141.56271934323883,1.2094037321085116,21.880906706786707,0.029106711109184797,0.005992250978310327,576.4410371316195,0.0
3636,10,China,2195,553.9189852750386,2.6659425083682406,90.38864625975978,352.3889652781037,0.0,1.0,0.005430597379173354,0.03086877460929119,153.0536086955295,1.2113578478184417,23.03807371943924,0.027451076900957428,0.005430597379173354,553.9189852750386,0.0
3637,10,China,2205,532.5230360112866,2.6138999667099387,97.25327989709729,381.7122656461249,0.0,1.0,0.004940417416703407,0.02962145209070941,165.09036130396348,1.2164661289242618,24.189721519922138,0.02597665796841951,0.004940417416703407,532.5230360112866,0.0
3638,10,China,2215,512.1968842107223,2.566576194155239,104.19956094362449,412.4336143546202,0.0,1.0,0.0045102222333240245,0.02850951272884868,177.81988979805251,1.2247684650996185,25.33589925678353,0.02465579671139066,0.0045102222333240245,512.1968842107223,0.0
3639,10,China,2225,492.8870400001862,2.5243484461044394,111.31743008522564,444.9074324297657,0.0,1.0,0.004130711464928191,0.027535234194530772,191.0092807702059,1.2331274644111938,26.476952214906728,0.023465806895215924,0.004130711464928191,492.8870400001862,0.0
3640,10,China,2235,474.54268800017684,2.487169413995543,118.55745186797976,478.5429452522012,0.0,1.0,0.0037943013253630468,0.026691431727167966,204.5835270514055,1.2415435135827892,27.61347251322541,0.02238796209417639,0.0037943013253630468,474.54268800017684,0.0
3641,10,China,2245,457.11555360016797,2.4547491400072605,125.90303559908462,513.145562905603,0.0,1.0,0.0034947648375756417,0.025966326603572138,218.5217086525936,1.2500170019775816,28.74625476620868,0.021406713178197576,0.0034947648375756417,457.11555360016797,0.0
3642,10,China,2255,228.55777680008399,2.4266720970765094,133.55758542313637,548.6582292996213,0.0,1.0,0.0016741104604869642,0.025346411634626587,232.82289210448312,1.2585483216161375,29.87625682179385,0.020509078076409507,0.0016741104604869642,228.55777680008399,0.0
3643,10,China,2265,114.27888840004199,2.402471130230647,141.2733327660989,585.9873352382085,0.0,1.0,0.0008033872066580461,0.024818073057381956,247.61036867860406,1.2671378671945484,31.004565474544496,0.01968416222923028,0.0008033872066580461,114.27888840004199,0.0
3644,10,China,2275,57.139444200020996,2.381672837090463,149.02757587071503,624.0707623631988,0.0,1.0,0.000386156097897667,0.024368454953240005,262.758854156864,1.275786036102693,32.13236690669889,0.01892277898833798,0.000386156097897667,57.139444200020996,0.0
3645,10,China,2285,28.569722100010498,2.3638241837993457,156.84452643674533,662.8179445799208,0.0,1.0,0.00018587815308692725,0.0239858714971514,278.26900052789534,1.2844932284426203,33.260921517086,0.018217147048945396,0.00018587815308692725,28.569722100010498,0.0
3646,10,China,2295,14.284861050005249,2.3485069322125183,164.75084087514978,702.345756067068,0.0,1.0,8.958979008925396e-5,0.02365995597898196,294.1690665722028,1.2932598470470613,34.391542746090096,0.01756064769351179,8.958979008925396e-5,14.284861050005249,0.0
3647,10,China,2305,7.1424305250026245,2.335344280888668,172.94417914888567,742.785145370102,0.0,1.0,4.3231164752195434e-5,0.02338166202707887,309.7519724620313,1.2976655678349578,35.525579483398545,0.01694762880540623,4.3231164752195434e-5,7.1424305250026245,0.0
3648,10,China,2315,3.5712152625013123,2.325868114329798,181.3302565101464,782.3813812636863,0.9773249626159668,1.0,2.088299462546314e-5,0.023182327055329615,324.7013548068776,1.2976655678349578,36.66440164556763,0.01637324570301657,2.088299462546314e-5,3.5712152625013123,0.0
3649,10,India,2005,0.0,0.83,1.6456551532332422,4.116824238112591,0.4051515897,0.0,0.0,0.004757657944241477,2.4408315129999996,1.094583,1.4986320450632533,0.16598916702858874,0.07469512516286493,1260.0,0.0
3650,10,India,2015,34.66088021519903,0.98,2.4629399579431244,6.279677043348383,0.566327022183798,0.13936303473702272,0.0002711059795156178,0.005877988386132935,4.187331491595771,1.2529435777035216,2.060649322130826,0.157148393447256,0.06753452208395827,1203.3,0.0
3651,10,India,2025,58.778464062732496,1.1766018620985392,3.5393901007655746,10.758088563029073,0.6925063650193944,0.19170343637837822,0.0005171484626368279,0.007467144019522566,6.6669607596533496,1.3856545708417876,2.601650052749562,0.12850651264825177,0.052753529773515453,1149.435,0.0
3652,10,India,2035,80.00146313434205,1.3987538000139295,4.921964838153359,17.097522610765147,0.8132578235432278,0.23334326251917567,0.0007130635538558821,0.009427685852512501,9.918230979289536,1.4791825173993338,3.217651663093427,0.10695302567007635,0.04195092056062553,1098.26325,0.0
